User ID,Date,Description,Amount,Transaction Type,Category,Account Name
3.0,1/2/2018,Thai Restaurant,24.22,debit,Restaurants,Silver Card
3.0,1/5/2018,American Tavern,25.85,debit,Restaurants,Silver Card
3.0,1/6/2018,Hardware Store,18.45,debit,Home Improvement,Silver Card
3.0,1/8/2018,Hardware Store,15.38,debit,Home Improvement,Silver Card
3.0,1/15/2018,Grocery Store,44.19,debit,Groceries,Silver Card
3.0,1/15/2018,American Tavern,64.11,debit,Restaurants,Silver Card
3.0,1/22/2018,Credit Card Payment,309.81,credit,Credit Card Payment,Silver Card
3.0,1/22/2018,Hardware Store,17.38,debit,Home Improvement,Silver Card
3.0,1/29/2018,Shell,30.42,debit,Gas & Fuel,Silver Card
3.0,1/29/2018,Thai Restaurant,25.0,debit,Restaurants,Silver Card
3.0,2/6/2018,Credit Card Payment,154.13,credit,Credit Card Payment,Silver Card
3.0,2/12/2018,Shell,36.47,debit,Gas & Fuel,Silver Card
3.0,2/14/2018,Brewing Company,14.0,debit,Alcohol & Bars,Silver Card
3.0,2/16/2018,Brunch Restaurant,8.0,debit,Restaurants,Silver Card
3.0,2/20/2018,Grocery Store,35.95,debit,Groceries,Silver Card
3.0,2/20/2018,Mexican Restaurant,23.51,debit,Restaurants,Silver Card
3.0,2/22/2018,Starbucks,4.0,debit,Coffee Shops,Silver Card
3.0,2/26/2018,Credit Card Payment,156.11,credit,Credit Card Payment,Silver Card
3.0,2/26/2018,American Tavern,85.52,debit,Restaurants,Silver Card
3.0,2/26/2018,Gas Station,32.21,debit,Gas & Fuel,Silver Card
3.0,3/1/2018,Grocery Store,32.07,debit,Groceries,Silver Card
3.0,3/3/2018,Grocery Store,23.74,debit,Groceries,Silver Card
3.0,3/5/2018,Credit Card Payment,761.59,credit,Credit Card Payment,Silver Card
3.0,3/17/2018,Brewing Company,19.5,debit,Alcohol & Bars,Silver Card
3.0,3/19/2018,Mediterranean Restaurant,36.48,debit,Restaurants,Silver Card
3.0,3/22/2018,BP,30.55,debit,Gas & Fuel,Silver Card
3.0,3/23/2018,Grocery Store,11.76,debit,Groceries,Silver Card
3.0,3/28/2018,Grocery Store,16.06,debit,Groceries,Silver Card
3.0,3/28/2018,Pizza Place,24.98,debit,Restaurants,Silver Card
3.0,3/29/2018,Steakhouse,17.64,debit,Restaurants,Silver Card
3.0,3/30/2018,Grocery Store,9.09,debit,Groceries,Silver Card
3.0,3/31/2018,Greek Restaurant,41.16,debit,Restaurants,Silver Card
3.0,4/2/2018,Credit Card Payment,817.14,credit,Credit Card Payment,Silver Card
3.0,4/9/2018,Blue Sky Market,6.48,debit,Groceries,Silver Card
3.0,4/20/2018,Thai Restaurant,24.22,debit,Restaurants,Silver Card
3.0,4/21/2018,Grocery Store,4.32,debit,Groceries,Silver Card
3.0,4/21/2018,American Tavern,35.15,debit,Restaurants,Silver Card
3.0,4/23/2018,Hardware Store,42.7,debit,Home Improvement,Silver Card
3.0,4/25/2018,Hardware Store,210.79,debit,Home Improvement,Silver Card
3.0,4/26/2018,Credit Card Payment,769.72,credit,Credit Card Payment,Silver Card
3.0,4/28/2018,Grocery Store,22.98,debit,Groceries,Silver Card
