User ID,Date,Description,Amount,Transaction Type,Category,Account Name
1.0,1/2/2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking
1.0,1/8/2018,Gas Company,45.0,debit,Utilities,Checking
1.0,1/10/2018,Phone Company,89.46,debit,Mobile Phone,Checking
1.0,1/12/2018,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
1.0,1/16/2018,City Water Charges,35.0,debit,Utilities,Checking
1.0,1/16/2018,Power Company,60.0,debit,Utilities,Checking
1.0,1/19/2018,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
1.0,1/22/2018,Credit Card Payment,554.99,debit,Credit Card Payment,Checking
1.0,1/23/2018,Credit Card Payment,309.81,debit,Credit Card Payment,Checking
1.0,1/25/2018,Internet Service Provider,69.99,debit,Internet,Checking
1.0,2/2/2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking
1.0,2/2/2018,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
1.0,2/7/2018,Credit Card Payment,154.13,debit,Credit Card Payment,Checking
1.0,2/7/2018,Gas Company,65.0,debit,Utilities,Checking
1.0,2/12/2018,Phone Company,89.52,debit,Mobile Phone,Checking
1.0,2/15/2018,Power Company,60.0,debit,Utilities,Checking
1.0,2/16/2018,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
1.0,2/16/2018,City Water Charges,35.0,debit,Utilities,Checking
1.0,2/26/2018,Credit Card Payment,765.37,debit,Credit Card Payment,Checking
1.0,2/26/2018,Internet Service Provider,74.99,debit,Internet,Checking
1.0,2/27/2018,Credit Card Payment,156.11,debit,Credit Card Payment,Checking
1.0,3/2/2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking
1.0,3/2/2018,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
1.0,3/5/2018,Credit Card Payment,761.59,debit,Credit Card Payment,Checking
1.0,3/8/2018,Gas Company,52.0,debit,Utilities,Checking
1.0,3/12/2018,Phone Company,89.52,debit,Mobile Phone,Checking
1.0,3/15/2018,Power Company,60.0,debit,Utilities,Checking
1.0,3/16/2018,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
1.0,3/19/2018,City Water Charges,35.0,debit,Utilities,Checking
1.0,3/23/2018,Credit Card Payment,559.91,debit,Credit Card Payment,Checking
1.0,3/26/2018,Internet Service Provider,74.99,debit,Internet,Checking
1.0,3/30/2018,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
1.0,4/2/2018,Credit Card Payment,817.14,debit,Credit Card Payment,Checking
1.0,4/2/2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking
1.0,4/4/2018,Credit Card Payment,363.08,debit,Credit Card Payment,Checking
1.0,4/9/2018,Gas Company,30.0,debit,Utilities,Checking
1.0,4/11/2018,Phone Company,89.52,debit,Mobile Phone,Checking
1.0,4/13/2018,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
1.0,4/16/2018,State Farm,75.0,debit,Auto Insurance,Checking
1.0,4/16/2018,City Water Charges,35.0,debit,Utilities,Checking
1.0,4/18/2018,Power Company,60.0,debit,Utilities,Checking
1.0,4/25/2018,Internet Service Provider,74.99,debit,Internet,Checking
1.0,4/26/2018,Credit Card Payment,1216.94,debit,Credit Card Payment,Checking
1.0,4/27/2018,Credit Card Payment,769.72,debit,Credit Card Payment,Checking
1.0,4/27/2018,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
1.0,5/2/2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking
1.0,5/9/2018,Credit Card Payment,601.4,debit,Credit Card Payment,Checking
1.0,5/9/2018,Gas Company,30.0,debit,Utilities,Checking
1.0,5/10/2018,Phone Company,111.18,debit,Mobile Phone,Checking
1.0,5/11/2018,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
